@relation pdbbindv2015-weka.filters.unsupervised.attribute.Remove-R1

@attribute	a1	numeric
@attribute	a2	numeric
@attribute	a3	numeric
@attribute	a4	numeric
@attribute	a5	numeric
@attribute	a6	numeric
@attribute	a7	numeric
@attribute	a8	numeric
@attribute	a9	numeric
@attribute	a10	numeric
@attribute	a11	numeric
@attribute	a12	numeric
@attribute	a13	numeric
@attribute	a14	numeric
@attribute	a15	numeric
@attribute	a16	numeric
@attribute	a17	numeric
@attribute	a18	numeric
@attribute	a19	numeric
@attribute	a20	numeric
@attribute	a21	numeric
@attribute	a22	numeric
@attribute	a23	numeric
@attribute	a24	numeric
@attribute	a25	numeric
@attribute	a26	numeric
@attribute	a27	numeric
@attribute	a28	numeric
@attribute	a29	numeric
@attribute	a30	numeric
@attribute	a31	numeric
@attribute	a32	numeric
@attribute	a33	numeric
@attribute	a34	numeric
@attribute	a35	numeric
@attribute	a36	numeric
@attribute	a37	numeric
@attribute	a38	numeric
@attribute	a39	numeric
@attribute	a40	numeric
@attribute	a41	numeric
@attribute	a42	numeric
@attribute	a43	numeric
@attribute	a44	numeric
@attribute	a45	numeric
@attribute	a46	numeric
@attribute	a47	numeric
@attribute	a48	numeric
@attribute	a49	numeric
@attribute	a50	numeric
@attribute	a51	numeric
@attribute	a52	numeric
@attribute	a53	numeric
@attribute	a54	numeric
@attribute	a55	numeric
@attribute	a56	numeric
@attribute	a57	numeric
@attribute	a58	numeric
@attribute	a59	numeric
@attribute	a60	numeric
@attribute	a61	numeric
@attribute	a62	numeric
@attribute	a63	numeric
@attribute	a64	numeric
@attribute	a65	numeric
@attribute	a66	numeric
@attribute	a67	numeric
@attribute	a68	numeric
@attribute	a69	numeric
@attribute	a70	numeric
@attribute	a71	numeric
@attribute	a72	numeric
@attribute	a73	numeric
@attribute	a74	numeric
@attribute	a75	numeric
@attribute	a76	numeric
@attribute	a77	numeric
@attribute	a78	numeric
@attribute	a79	numeric
@attribute	a80	numeric
@attribute	a81	numeric
@attribute	a82	numeric
@attribute	a83	numeric
@attribute	a84	numeric
@attribute	a85	numeric
@attribute	a86	numeric
@attribute	a87	numeric
@attribute	a88	numeric
@attribute	a89	numeric
@attribute	a90	numeric
@attribute	a91	numeric
@attribute	a92	numeric
@attribute	a93	numeric
@attribute	a94	numeric
@attribute	a95	numeric
@attribute	a96	numeric
@attribute	a97	numeric
@attribute	a98	numeric
@attribute	a99	numeric
@attribute	a100	numeric
@attribute	a101	numeric
@attribute	a102	numeric
@attribute	a103	numeric
@attribute	a104	numeric
@attribute	a105	numeric
@attribute	a106	numeric
@attribute	a107	numeric
@attribute	a108	numeric
@attribute	a109	numeric
@attribute	a110	numeric
@attribute	a111	numeric
@attribute	a112	numeric
@attribute	a113	numeric
@attribute	a114	numeric
@attribute	a115	numeric
@attribute	a116	numeric
@attribute	a117	numeric
@attribute	a118	numeric
@attribute	a119	numeric
@attribute	a120	numeric
@attribute	a121	numeric
@attribute	a122	numeric
@attribute	a123	numeric
@attribute	a124	numeric
@attribute	a125	numeric
@attribute	a126	numeric

@attribute energy numeric

@data
14,9,2,6,0,0,0,0,0,18,32,30,30,16,2,2,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,335,6,5,2,1.1,246.085,0,123,17,5,0,0,0,0,2,15.99,3.74,3.74,5.78,1.7,4.42,4.42,6.8,3.06,4.42,15.99,3.4,2.04,3.74,5.44,6.46,4.76,1.02,3.06,2.72,294,1,0,12114.1,194,16,36,0,2,0,0,1,0,0,15,44,73,4,-11.921
17,21,9,3,0,0,2,0,2,40,57,45,45,28,12,12,0,12,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,913,9,2,9,1,551.08,0,143,37,0,0,0,0,0,4,4.36,7.05,3.69,6.71,2.68,2.68,7.72,8.05,1.68,6.04,4.36,7.38,2.35,3.69,5.37,5.37,3.69,3.02,4.03,5.7,287,4,4,12808.7,178,2,74,3,2,2,0,0,0,0,21,31,30,6,-11.854
39,30,3,7,2,0,0,0,0,46,85,75,75,36,10,10,0,10,5,0,0,3,2,0,0,0,0,2,0,0,1,1,0,0,0,0,7,0,3,2,0,1,1,0,0,0,0,3,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,1,1,0,0,0,0,972,10,2,14,4.8,617.223,0,164,42,5,0,0,0,0,2,3.03,4.04,4.04,4.04,2.02,5.05,4.04,13.13,1.01,13.13,3.03,7.07,2.02,2.02,7.07,0,8.08,2.02,1.01,6.06,198,2,0,9638.2,127,14,74,0,0,6,1,0,0,0,21,12,6,2,-11.824
25,16,5,1,1,0,0,0,0,25,50,46,46,21,4,4,0,4,3,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,2,1,0,0,1,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,374,6,3,7,-0.9,335.178,0,116,23,2,0,0,0,0,5,11.69,3.23,3.63,5.65,2.02,2.82,5.65,10.08,5.65,6.85,11.69,4.44,2.02,3.23,2.42,4.84,5.24,0,1.61,9.27,460,2,0,16758.2,343,75,53,0,0,4,1,0,0,0,20,32,136,8,-11.824
15,5,4,6,1,1,0,0,0,16,31,27,27,12,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,10,6,8,-0.3,290.045,0,193,17,2,0,0,0,0,4,11.11,3.6,3.9,4.8,1.2,4.2,8.41,7.81,2.7,3.3,11.11,6.61,3.6,3.9,2.7,4.5,6.61,1.2,3,6.01,999,3,0,32748.6,730,137,6,0,0,6,3,0,0,0,57,111,353,15,-11.796
43,31,3,9,1,0,0,0,0,47,90,80,80,37,10,10,0,10,4,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,2,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1020,10,3,15,3.8,633.272,0,161,44,6,0,0,0,0,4,5.05,4.04,3.03,4.04,0,5.05,4.04,13.13,1.01,15.15,5.05,7.07,2.02,2.02,6.06,1.01,8.08,2.02,1.01,6.06,198,2,0,10138.2,128,12,76,0,0,6,1,0,0,0,21,13,6,2,-11.745
49,33,2,12,1,1,0,0,0,52,101,91,91,42,10,10,0,10,4,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,2,2,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1150,13,2,20,-2.8,728.274,0,177,49,5,0,0,0,0,2,3.03,4.04,3.03,4.04,1.01,6.06,4.04,13.13,1.01,12.12,3.03,6.06,4.04,2.02,6.06,1.01,8.08,2.02,1.01,7.07,198,2,0,9865.9,136,13,73,0,0,6,1,0,0,0,30,13,6,2,-11.721
19,13,5,1,1,0,0,0,0,22,41,37,37,18,4,4,0,4,3,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,2,1,0,0,1,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,334,6,3,4,-1.2,293.131,0,116,20,2,0,0,0,0,5,13.64,2.48,3.72,5.37,2.07,3.72,6.61,9.5,2.89,7.44,13.64,4.55,2.07,4.13,2.89,5.37,3.72,0,1.65,8.68,466,2,0,17794.1,358,73,55,0,0,4,0,2,0,0,24,35,142,9,-11.699
41,29,2,12,1,1,0,0,0,48,89,79,79,38,10,10,0,10,4,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,2,2,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1090,13,4,16,6.5,672.212,0,199,45,5,0,0,0,0,2,3.03,4.04,3.03,4.04,1.01,6.06,4.04,13.13,1.01,13.13,3.03,6.06,3.03,2.02,6.06,1.01,8.08,2.02,1.01,6.06,198,2,0,9661.1,131,13,72,0,0,6,1,0,0,0,26,12,6,2,-11.678
49,33,2,12,1,1,0,0,0,52,101,91,91,42,10,10,0,10,4,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,2,2,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1150,13,2,20,-2.8,728.274,0,177,49,5,0,0,0,0,2,3.03,4.04,3.03,4.04,1.01,6.06,4.04,13.13,1.01,13.13,3.03,6.06,3.03,2.02,6.06,1.01,8.08,2.02,1.01,6.06,198,2,0,9815.7,129,13,72,0,0,6,1,0,0,0,25,12,6,2,-11.585
