@relation decoys		
@attribute	a1	numeric
@attribute	a2	numeric
@attribute	a3	numeric
@attribute	a4	numeric
@attribute	a5	numeric
@attribute	a6	numeric
@attribute	a7	numeric
@attribute	a8	numeric
@attribute	a9	numeric
@attribute	a10	numeric
@attribute	a11	numeric
@attribute	a12	numeric
@attribute	a13	numeric
@attribute	a14	numeric
@attribute	a15	numeric
@attribute	a16	numeric
@attribute	a17	numeric
@attribute	a18	numeric
@attribute	a19	numeric
@attribute	a20	numeric
@attribute	a21	numeric
@attribute	a22	numeric
@attribute	a23	numeric
@attribute	a24	numeric
@attribute	a25	numeric
@attribute	a26	numeric
@attribute	a27	numeric
@attribute	a28	numeric
@attribute	a29	numeric
@attribute	a30	numeric
@attribute	a31	numeric
@attribute	a32	numeric
@attribute	a33	numeric
@attribute	a34	numeric
@attribute	a35	numeric
@attribute	a36	numeric
@attribute	a37	numeric
@attribute	a38	numeric
@attribute	a39	numeric
@attribute	a40	numeric
@attribute	a41	numeric
@attribute	a42	numeric
@attribute	a43	numeric
@attribute	a44	numeric
@attribute	a45	numeric
@attribute	a46	numeric
@attribute	a47	numeric
@attribute	a48	numeric
@attribute	a49	numeric
@attribute	a50	numeric
@attribute	a51	numeric
@attribute	a52	numeric
@attribute	a53	numeric
@attribute	a54	numeric
@attribute	a55	numeric
@attribute	a56	numeric
@attribute	a57	numeric
@attribute	a58	numeric
@attribute	a59	numeric
@attribute	a60	numeric
@attribute	a61	numeric
@attribute	a62	numeric
@attribute	a63	numeric
@attribute	a64	numeric
@attribute	a65	numeric
@attribute	a66	numeric
@attribute	a67	numeric
@attribute	a68	numeric
@attribute	a69	numeric
@attribute	a70	numeric
@attribute	a71	numeric
@attribute	a72	numeric
@attribute	a73	numeric
@attribute	a74	numeric
@attribute	a75	numeric
@attribute	a76	numeric
@attribute	a77	numeric
@attribute	a78	numeric
@attribute	a79	numeric
@attribute	a80	numeric
@attribute	a81	numeric
@attribute	a82	numeric
@attribute	a83	numeric
@attribute	a84	numeric
@attribute	a85	numeric
@attribute	a86	numeric
@attribute	a87	numeric
@attribute	a88	numeric
@attribute	a89	numeric
@attribute	a90	numeric
@attribute	a91	numeric
@attribute	a92	numeric
@attribute	a93	numeric
@attribute	a94	numeric
@attribute	a95	numeric
@attribute	a96	numeric
@attribute	a97	numeric
@attribute	a98	numeric
@attribute	a99	numeric
@attribute	a100	numeric
@attribute	a101	numeric
@attribute	a102	numeric
@attribute	a103	numeric
@attribute	a104	numeric
@attribute	a105	numeric
@attribute	a106	numeric
@attribute	a107	numeric
@attribute	a108	numeric
@attribute	a109	numeric
@attribute	a110	numeric
@attribute	a111	numeric
@attribute	a112	numeric
@attribute	a113	numeric
@attribute	a114	numeric
@attribute	a115	numeric
@attribute	a116	numeric
@attribute	a117	numeric
@attribute	a118	numeric
@attribute	a119	numeric
@attribute	a120	numeric
@attribute	a121	numeric
@attribute	a122	numeric
@attribute	a123	numeric
@attribute	a124	numeric
@attribute	a125	numeric

@attribute	energy	{0,1}

@data
4.42,4.42,6.45,4.97,1.47,2.95,6.45,8.29,2.58,3.87,4.42,4.6,2.76,6.26,5.89,8.29,4.05,2.58,3.13,7.37,532,1,3,19918.2,342,47,29,0,0,3,0,0,0,0,32,64,147,9,0,0,31,25,25,1,3,1,0,1,0,0,0,1,34,59,49,49,24,10,10,0,10,37.583175,36.50881783,0.699132004,226.06,3,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,1,3,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,8,63.84,438.1539179,1.823,1
4.42,4.42,6.45,4.97,1.47,2.95,6.45,8.29,2.58,3.87,4.42,4.6,2.76,6.26,5.89,8.29,4.05,2.58,3.13,7.37,532,1,3,19918.2,342,47,29,0,0,3,0,0,0,0,32,64,147,9,0,0,31,25,25,1,3,1,0,1,0,0,0,1,34,59,49,49,24,10,10,0,10,37.583175,36.50881783,0.699132004,226.06,3,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,1,3,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,8,63.84,438.1539179,1.823,1
4.42,4.42,6.45,4.97,1.47,2.95,6.45,8.29,2.58,3.87,4.42,4.6,2.76,6.26,5.89,8.29,4.05,2.58,3.13,7.37,532,1,3,19918.2,342,47,29,0,0,3,0,0,0,0,32,64,147,9,0,0,29,32,25,1,3,0,0,0,0,0,0,0,32,64,57,57,25,7,7,0,7,41.092624,36.57160574,0.653709394,212.04,3,1,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,1,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,39.97,394.2382189,3.254,1
4.42,4.42,6.45,4.97,1.47,2.95,6.45,8.29,2.58,3.87,4.42,4.6,2.76,6.26,5.89,8.29,4.05,2.58,3.13,7.37,532,1,3,19918.2,342,47,29,0,0,3,0,0,0,0,32,64,147,9,0,0,29,32,25,1,3,0,0,0,0,0,0,0,32,64,57,57,25,7,7,0,7,41.092624,36.57160574,0.653709394,212.04,3,1,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,1,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,39.97,394.2382189,3.254,1
4.42,4.42,6.45,4.97,1.47,2.95,6.45,8.29,2.58,3.87,4.42,4.6,2.76,6.26,5.89,8.29,4.05,2.58,3.13,7.37,532,1,3,19918.2,342,47,29,0,0,3,0,0,0,0,32,64,147,9,0,0,26,25,21,3,2,0,0,0,0,0,0,0,29,54,47,47,22,7,7,0,7,34.824175,31.47633645,0.665067806,191.05,5,1,0,0,2,2,0,0,0,0,0,0,3,0,0,0,1,1,0,0,1,0,7,0,2,2,0,1,1,0,0,1,0,2,0,0,2,0,0,0,0,0,0,1,1,0,1,0,2,0,0,1,1,0,1,0,5,44.81,351.194677,2.359,1
4.42,4.42,6.45,4.97,1.47,2.95,6.45,8.29,2.58,3.87,4.42,4.6,2.76,6.26,5.89,8.29,4.05,2.58,3.13,7.37,532,1,3,19918.2,342,47,29,0,0,3,0,0,0,0,32,64,147,9,0,0,26,26,21,3,2,0,0,0,0,0,0,0,29,55,48,48,22,7,7,0,7,35.257382,31.74725036,0.659956449,191.05,4,2,0,0,2,2,0,0,0,0,0,0,3,0,0,0,1,1,0,0,1,0,7,0,2,2,0,1,1,0,0,1,0,2,0,0,2,0,0,0,0,0,0,1,1,0,1,0,2,0,0,1,1,0,1,0,5,46.01,352.2025021,2.2,1
4.42,4.42,6.45,4.97,1.47,2.95,6.45,8.29,2.58,3.87,4.42,4.6,2.76,6.26,5.89,8.29,4.05,2.58,3.13,7.37,532,1,3,19918.2,342,47,29,0,0,3,0,0,0,0,32,64,147,9,0,0,26,25,21,3,2,0,0,0,0,0,0,0,29,54,47,47,22,7,7,0,7,34.824175,31.47633645,0.665067806,191.05,5,1,0,0,2,2,0,0,0,0,0,0,3,0,0,0,1,1,0,0,1,0,7,0,2,2,0,1,1,0,0,1,0,2,0,0,2,0,0,0,0,0,0,1,1,0,1,0,2,0,0,1,1,0,1,0,5,44.81,351.194677,2.359,1
4.42,4.42,6.45,4.97,1.47,2.95,6.45,8.29,2.58,3.87,4.42,4.6,2.76,6.26,5.89,8.29,4.05,2.58,3.13,7.37,532,1,3,19918.2,342,47,29,0,0,3,0,0,0,0,32,64,147,9,0,0,26,26,21,3,2,0,0,0,0,0,0,0,29,55,48,48,22,7,7,0,7,35.257382,31.74725036,0.659956449,191.05,4,2,0,0,2,2,0,0,0,0,0,0,3,0,0,0,1,1,0,0,1,0,7,0,2,2,0,1,1,0,0,1,0,2,0,0,2,0,0,0,0,0,0,1,1,0,1,0,2,0,0,1,1,0,1,0,5,46.01,352.2025021,2.2,1
4.42,4.42,6.45,4.97,1.47,2.95,6.45,8.29,2.58,3.87,4.42,4.6,2.76,6.26,5.89,8.29,4.05,2.58,3.13,7.37,532,1,3,19918.2,342,47,29,0,0,3,0,0,0,0,32,64,147,9,0,0,35,42,30,4,1,0,0,0,0,0,0,0,39,81,73,73,31,8,8,0,8,48.852694,45.12503725,0.647852135,331.05,3,4,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,1,9,0,0,5,0,0,0,3,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,3,0,1,0,2,0,0,0,3,0,1,11,71.71,474.335862,4.489,1
4.42,4.42,6.45,4.97,1.47,2.95,6.45,8.29,2.58,3.87,4.42,4.6,2.76,6.26,5.89,8.29,4.05,2.58,3.13,7.37,532,1,3,19918.2,342,47,29,0,0,3,0,0,0,0,32,64,147,9,0,0,40,41,34,4,1,0,0,0,1,0,0,1,45,86,75,75,34,11,11,0,11,49.137487,49.94497924,0.67642872,465.06,3,4,0,0,1,5,0,0,0,0,0,0,6,0,0,0,0,2,2,0,0,2,12,0,1,5,0,0,2,2,0,0,2,2,0,0,1,1,0,0,0,0,0,0,2,2,0,2,1,1,0,0,2,2,0,2,13,63.87,556.2968896,5.753,1
